15/10/2019/17:57:28,  Y = 8523
15/10/2019/17:57:28,  Z = 8723
15/11/2019/17:57:33,  X = 8322
15/10/2019/17:57:33,  Y = 8522
15/10/2019/17:57:33,  Z = 8722
15/11/2019/17:57:38,  X = 8323
15/10/2019/17:57:38,  Y = 8523
15/10/2019/17:57:38,  Z = 8723
15/11/2019/17:57:43,  X = 8323
15/10/2019/17:57:43,  Y = 8523
15/10/2019/17:57:43,  Z = 8723
15/11/2019/17:57:48,  X = 8324
15/10/2019/17:57:48,  Y = 8524
15/10/2019/17:57:48,  Z = 8724
15/11/2019/17:57:53,  X = 8323
15/10/2019/17:57:53,  Y = 8523
15/10/2019/17:57:53,  Z = 8723
15/11/2019/17:57:58,  X = 8323
15/10/2019/17:57:58,  Y = 8523
15/10/2019/17:57:58,  Z = 8723
15/11/2019/17:58:3,  X = 8324
15/10/2019/17:58:3,  Y = 8524
15/10/2019/17:58:3,  Z = 8724
15/11/2019/17:58:8,  X = 8324
15/10/2019/17:58:8,  Y = 8524
15/10/2019/17:58:8,  Z = 8724
15/11/2019/17:58:13,  X = 8324
15/10/2019/17:58:13,  Y = 8524
15/10/2019/17:58:13,  Z = 8724
15/11/2019/17:58:18,  X = 8323
15/10/2019/17:58:18,  Y = 8523
15/10/2019/17:58:18,  Z = 8723
15/11/2019/17:58:23,  X = 8324
15/10/2019/17:58:23,  Y = 8524
15/10/2019/17:58:23,  Z = 8724
15/11/2019/17:58:28,  X = 8324
15/10/2019/17:58:28,  Y = 8524
15/10/2019/17:58:28,  Z = 8724
15/11/2019/17:58:33,  X = 8324
15/10/2019/17:58:33,  Y = 8524
15/10/2019/17:58:33,  Z = 8724
15/11/2019/17:58:38,  X = 8325
15/10/2019/17:58:38,  Y = 8525
15/10/2019/17:58:38,  Z = 8725
15/11/2019/17:58:43,  X = 8324
15/10/2019/17:58:43,  Y = 8524
15/10/2019/17:58:43,  Z = 8724
15/11/2019/17:58:48,  X = 8325
15/10/2019/17:58:48,  Y = 8525
15/10/2019/17:58:48,  Z = 8725
15/11/2019/17:58:53,  X = 8324
15/10/2019/17:58:53,  Y = 8524
15/10/2019/17:58:53,  Z = 8724
15/11/2019/17:58:58,  X = 8324
15/10/2019/17:58:58,  Y = 8524
15/10/2019/17:58:58,  Z = 8724
15/11/2019/17:59:3,  X = 8325
15/10/2019/17:59:3,  Y = 8525
15/10/2019/17:59:3,  Z = 8725
15/11/2019/17:59:8,  X = 8325
15/10/2019/17:59:8,  Y = 8525
15/10/2019/17:59:8,  Z = 8725
15/11/2019/17:59:13,  X = 8324
15/10/2019/17:59:13,  Y = 8524
15/10/2019/17:59:13,  Z = 8724
15/11/2019/17:59:18,  X = 8324
15/10/2019/17:59:18,  Y = 8524
15/10/2019/17:59:18,  Z = 8724
15/11/2019/17:59:23,  X = 8327
15/10/2019/17:59:23,  Y = 8527
15/10/2019/17:59:23,  Z = 8727
15/11/2019/17:59:28,  X = 8328
15/10/2019/17:59:28,  Y = 8528
15/10/2019/17:59:28,  Z = 8728
15/11/2019/17:59:33,  X = 8326
15/10/2019/17:59:33,  Y = 8526
15/10/2019/17:59:33,  Z = 8726
15/11/2019/17:59:38,  X = 83c4
15/10/2019/17:59:38,  Y = 85c4
15/10/2019/17:59:38,  Z = 87c4
15/11/2019/17:59:43,  X = 83c4
15/10/2019/17:59:43,  Y = 85c4
15/10/2019/17:59:43,  Z = 87c4
15/11/2019/17:59:48,  X = 83c4
15/10/2019/17:59:48,  Y = 85c4
15/10/2019/17:59:48,  Z = 87c4
15/11/2019/17:59:53,  X = 83c4
15/10/2019/17:59:53,  Y = 85c4
15/10/2019/17:59:53,  Z = 87c4
15/11/2019/17:59:58,  X = 83c4
15/10/2019/17:59:58,  Y = 85c4
15/10/2019/17:59:58,  Z = 87c4
15/11/2019/18:0:3,  X = 83c4
15/10/2019/18:0:3,  Y = 85c4
15/10/2019/18:0:3,  Z = 87c4
15/11/2019/18:0:8,  X = 83c6
15/10/2019/18:0:8,  Y = 85c6
15/10/2019/18:0:8,  Z = 87c6
15/11/2019/18:0:13,  X = 83c4
15/10/2019/18:0:13,  Y = 85c4
15/10/2019/18:0:13,  Z = 87c4
15/11/2019/18:0:18,  X = 83c4
15/10/2019/18:0:18,  Y = 85c4
15/10/2019/18:0:18,  Z = 87c4
15/11/2019/18:0:23,  X = 83c5
15/10/2019/18:0:23,  Y = 85c5
15/10/2019/18:0:23,  Z = 87c5
15/11/2019/18:0:28,  X = 83c4
15/10/2019/18:0:28,  Y = 85c4
15/10/2019/18:0:28,  Z = 87c4
15/11/2019/18:0:33,  X = 83c4
15/10/2019/18:0:33,  Y = 85c4
15/10/2019/18:0:33,  Z = 87c4
15/11/2019/18:0:38,  X = 83c4
15/10/2019/18:0:38,  Y = 85c4
15/10/2019/18:0:38,  Z = 87c4
15/11/2019/18:0:43,  X = 83c4
15/10/2019/18:0:43,  Y = 85c4
15/10/2019/18:0:43,  Z = 87c4
15/11/2019/18:0:48,  X = 83c4
15/10/2019/18:0:48,  Y = 85c4
15/10/2019/18:0:48,  Z = 87c4
15/11/2019/18:0:53,  X = 83c3
15/10/2019/18:0:53,  Y = 85c3
15/10/2019/18:0:53,  Z = 87c3
15/11/2019/18:0:58,  X = 83c2
15/10/2019/18:0:58,  Y = 85c2
15/10/2019/18:0:58,  Z = 87c2
15/11/2019/18:1:3,  X = 83c4
15/10/2019/18:1:3,  Y = 85c4
15/10/2019/18:1:3,  Z = 87c4
