4/11/2019/23:7:47,  Dig.Val. = f100
4/11/2019/23:7:52,  Dig.Val. = f100
4/11/2019/23:7:57,  Dig.Val. = f100
4/11/2019/23:8:2,  Dig.Val. = f100
4/11/2019/23:8:7,  Dig.Val. = f100
4/11/2019/23:8:12,  Dig.Val. = f100
4/11/2019/23:8:17,  Dig.Val. = f100
4/11/2019/23:8:22,  Dig.Val. = f100
4/11/2019/23:8:27,  Dig.Val. = f100
4/11/2019/23:8:32,  Dig.Val. = f100
4/11/2019/23:9:5,  Dig.Val. = f100
4/11/2019/23:9:10,  Dig.Val. = f100
4/11/2019/23:9:15,  Dig.Val. = f100
4/11/2019/23:9:20,  Dig.Val. = f100
4/11/2019/23:14:51,  Dig.Val. = f100
4/11/2019/23:14:56,  Dig.Val. = f100
4/11/2019/23:15:1,  Dig.Val. = f100
4/11/2019/23:15:6,  Dig.Val. = f100
4/11/2019/23:15:11,  Dig.Val. = f100
4/11/2019/23:15:16,  Dig.Val. = f100
4/11/2019/23:15:21,  Dig.Val. = f100
4/11/2019/23:15:26,  Dig.Val. = f100
4/11/2019/23:15:31,  Dig.Val. = f100
4/11/2019/23:15:36,  Dig.Val. = f100
4/11/2019/23:15:41,  Dig.Val. = f100
4/11/2019/23:15:46,  Dig.Val. = f100
4/11/2019/23:15:51,  Dig.Val. = f100
4/11/2019/23:15:56,  Dig.Val. = f100
4/11/2019/23:16:1,  Dig.Val. = f100
4/11/2019/23:16:6,  Dig.Val. = f100
4/11/2019/23:16:11,  Dig.Val. = f100
4/11/2019/23:16:16,  Dig.Val. = f100
4/11/2019/23:16:21,  Dig.Val. = f100
4/11/2019/23:16:26,  Dig.Val. = f100
4/11/2019/23:16:31,  Dig.Val. = f100
4/11/2019/23:16:36,  Dig.Val. = f100
4/11/2019/23:16:41,  Dig.Val. = f200
4/11/2019/23:16:46,  Dig.Val. = f200
4/11/2019/23:16:51,  Dig.Val. = f200
4/11/2019/23:16:56,  Dig.Val. = f200
4/11/2019/23:17:1,  Dig.Val. = f100
15/11/2019/17:56:43,  Dig.Val. = f200
15/11/2019/17:56:48,  Dig.Val. = f200
15/11/2019/17:56:53,  Dig.Val. = f200
15/11/2019/17:56:58,  Dig.Val. = f200
15/11/2019/17:57:3,  Dig.Val. = f200
15/11/2019/17:57:8,  Dig.Val. = f100
15/11/2019/17:57:13,  Dig.Val. = f100
15/11/2019/17:57:18,  Dig.Val. = f200
15/11/2019/17:57:23,  Dig.Val. = f200
15/11/2019/17:57:28,  Dig.Val. = f200
15/11/2019/17:57:33,  Dig.Val. = f200
15/11/2019/17:57:38,  Dig.Val. = f200
15/11/2019/17:57:43,  Dig.Val. = f200
15/11/2019/17:57:48,  Dig.Val. = f200
15/11/2019/17:57:53,  Dig.Val. = f200
15/11/2019/17:57:58,  Dig.Val. = f200
15/11/2019/17:58:3,  Dig.Val. = f200
15/11/2019/17:58:8,  Dig.Val. = f200
15/11/2019/17:58:13,  Dig.Val. = f200
15/11/2019/17:58:18,  Dig.Val. = f100
15/11/2019/17:58:23,  Dig.Val. = f200
15/11/2019/17:58:28,  Dig.Val. = f100
15/11/2019/17:58:33,  Dig.Val. = f200
15/11/2019/17:58:38,  Dig.Val. = f200
15/11/2019/17:58:43,  Dig.Val. = f200
15/11/2019/17:58:48,  Dig.Val. = f200
15/11/2019/17:58:53,  Dig.Val. = f200
15/11/2019/17:58:58,  Dig.Val. = f200
15/11/2019/17:59:3,  Dig.Val. = f200
15/11/2019/17:59:8,  Dig.Val. = f200
15/11/2019/17:59:13,  Dig.Val. = f100
15/11/2019/17:59:18,  Dig.Val. = f100
15/11/2019/17:59:23,  Dig.Val. = f200
15/11/2019/17:59:28,  Dig.Val. = f200
15/11/2019/17:59:33,  Dig.Val. = f200
15/11/2019/17:59:38,  Dig.Val. = f100
15/11/2019/17:59:43,  Dig.Val. = f100
15/11/2019/17:59:48,  Dig.Val. = f100
15/11/2019/17:59:53,  Dig.Val. = f100
15/11/2019/17:59:58,  Dig.Val. = f100
15/11/2019/18:0:3,  Dig.Val. = f100
15/11/2019/18:0:8,  Dig.Val. = f100
15/11/2019/18:0:13,  Dig.Val. = f100
15/11/2019/18:0:18,  Dig.Val. = f100
15/11/2019/18:0:23,  Dig.Val. = f100
15/11/2019/18:0:28,  Dig.Val. = f100
15/11/2019/18:0:33,  Dig.Val. = f100
15/11/2019/18:0:38,  Dig.Val. = f100
15/11/2019/18:0:43,  Dig.Val. = f100
15/11/2019/18:0:48,  Dig.Val. = f100
15/11/2019/18:0:53,  Dig.Val. = f100
15/11/2019/18:0:58,  Dig.Val. = f100
15/11/2019/18:1:3,  Dig.Val. = f100
15/11/2019/18:1:8,  Dig.Val. = f100
15/11/2019/18:1:13,  Dig.Val. = f100
15/11/2019/18:1:18,  Dig.Val. = f100
15/11/2019/18:1:23,  Dig.Val. = f100
15/11/2019/18:1:28,  Dig.Val. = f100
15/11/2019/18:1:33,  Dig.Val. = f100
15/11/2019/18:1:38,  Dig.Val. = f100
15/11/2019/18:1:43,  Dig.Val. = f100
15/11/2019/18:1:48,  Dig.Val. = f100
15/11/2019/18:1:53,  Dig.Val. = f100
15/11/2019/18:1:58,  Dig.Val. = f100
15/11/2019/18:2:3,  Dig.Val. = f100
15/11/2019/18:2:8,  Dig.Val. = f100
15/11/2019/18:2:13,  Dig.Val. = f100
15/11/2019/18:2:18,  Dig.Val. = f100
15/11/2019/18:2:23,  Dig.Val. = f100
15/11/2019/18:2:28,  Dig.Val. = f100
15/11/2019/18:2:33,  Dig.Val. = f100
15/11/2019/18:2:38,  Dig.Val. = f100
15/11/2019/18:2:43,  Dig.Val. = f100
15/11/2019/18:2:48,  Dig.Val. = f100
15/11/2019/18:2:53,  Dig.Val. = f100
15/11/2019/18:2:58,  Dig.Val. = f100
15/11/2019/18:3:3,  Dig.Val. = f100
15/11/2019/18:3:8,  Dig.Val. = f100
15/11/2019/18:3:13,  Dig.Val. = f100
