15/10/2019/17:57:28,  Y = e0ca
15/10/2019/17:57:28,  Z = 5023
15/11/2019/17:57:33,  X = 60f8
15/10/2019/17:57:33,  Y = 60cb
15/10/2019/17:57:33,  Z = 1022
15/11/2019/17:57:38,  X = f0fb
15/10/2019/17:57:38,  Y = a0ca
15/10/2019/17:57:38,  Z = 1023
15/11/2019/17:57:43,  X = 30ff
15/10/2019/17:57:43,  Y = a0cb
15/10/2019/17:57:43,  Z = e023
15/11/2019/17:57:48,  X = 40ff
15/10/2019/17:57:48,  Y = e0cb
15/10/2019/17:57:48,  Z = 3024
15/11/2019/17:57:53,  X = 40fe
15/10/2019/17:57:53,  Y = c0ca
15/10/2019/17:57:53,  Z = 7023
15/11/2019/17:57:58,  X = 7006
15/10/2019/17:57:58,  Y = e0cb
15/10/2019/17:57:58,  Z = d023
15/11/2019/17:58:3,  X = a006
15/10/2019/17:58:3,  Y = 40cc
15/10/2019/17:58:3,  Z = 2024
15/11/2019/17:58:8,  X = 7006
15/10/2019/17:58:8,  Y = e0cb
15/10/2019/17:58:8,  Z = 1024
15/11/2019/17:58:13,  X = 9006
15/10/2019/17:58:13,  Y = 20cc
15/10/2019/17:58:13,  Z = 5024
15/11/2019/17:58:18,  X = 7006
15/10/2019/17:58:18,  Y = d0cb
15/10/2019/17:58:18,  Z = f023
15/11/2019/17:58:23,  X = d006
15/10/2019/17:58:23,  Y = f0cb
15/10/2019/17:58:23,  Z = 5024
15/11/2019/17:58:28,  X = b006
15/10/2019/17:58:28,  Y = 20cc
15/10/2019/17:58:28,  Z = 1024
15/11/2019/17:58:33,  X = 4005
15/10/2019/17:58:33,  Y = 70d3
15/10/2019/17:58:33,  Z = 8024
15/11/2019/17:58:38,  X = 900f
15/10/2019/17:58:38,  Y = d0cd
15/10/2019/17:58:38,  Z = 7025
15/11/2019/17:58:43,  X = 500f
15/10/2019/17:58:43,  Y = 20ce
15/10/2019/17:58:43,  Z = e024
15/11/2019/17:58:48,  X = 900f
15/10/2019/17:58:48,  Y = 60ce
15/10/2019/17:58:48,  Z = 1025
15/11/2019/17:58:53,  X = 900f
15/10/2019/17:58:53,  Y = 50ce
15/10/2019/17:58:53,  Z = 7024
15/11/2019/17:58:58,  X = 800f
15/10/2019/17:58:58,  Y = 30ce
15/10/2019/17:58:58,  Z = c024
15/11/2019/17:59:3,  X = 800f
15/10/2019/17:59:3,  Y = 30ce
15/10/2019/17:59:3,  Z = 0025
15/11/2019/17:59:8,  X = e00f
15/10/2019/17:59:8,  Y = 50ce
15/10/2019/17:59:8,  Z = 2025
15/11/2019/17:59:13,  X = a00f
15/10/2019/17:59:13,  Y = 40ce
15/10/2019/17:59:13,  Z = d024
15/11/2019/17:59:18,  X = c00f
15/10/2019/17:59:18,  Y = 40ce
15/10/2019/17:59:18,  Z = 6024
15/11/2019/17:59:23,  X = 7010
15/10/2019/17:59:23,  Y = b0cb
15/10/2019/17:59:23,  Z = f027
15/11/2019/17:59:28,  X = 3010
15/10/2019/17:59:28,  Y = 10d0
15/10/2019/17:59:28,  Z = 5028
15/11/2019/17:59:33,  X = d010
15/10/2019/17:59:33,  Y = b0cf
15/10/2019/17:59:33,  Z = 9026
15/11/2019/17:59:38,  X = 2006
15/10/2019/17:59:38,  Y = c0fb
15/10/2019/17:59:38,  Z = c0c4
15/11/2019/17:59:43,  X = 2006
15/10/2019/17:59:43,  Y = e0fb
15/10/2019/17:59:43,  Z = 80c4
15/11/2019/17:59:48,  X = 6006
15/10/2019/17:59:48,  Y = d0fb
15/10/2019/17:59:48,  Z = 90c4
15/11/2019/17:59:53,  X = 2006
15/10/2019/17:59:53,  Y = c0fb
15/10/2019/17:59:53,  Z = 80c4
15/11/2019/17:59:58,  X = 4006
15/10/2019/17:59:58,  Y = e0fb
15/10/2019/17:59:58,  Z = 50c4
15/11/2019/18:0:3,  X = 3006
15/10/2019/18:0:3,  Y = 90fb
15/10/2019/18:0:3,  Z = a0c4
15/11/2019/18:0:8,  X = e007
15/10/2019/18:0:8,  Y = b0fd
15/10/2019/18:0:8,  Z = b0c6
15/11/2019/18:0:13,  X = 3006
15/10/2019/18:0:13,  Y = e0fb
15/10/2019/18:0:13,  Z = 50c4
15/11/2019/18:0:18,  X = 4006
15/10/2019/18:0:18,  Y = c0fb
15/10/2019/18:0:18,  Z = 80c4
15/11/2019/18:0:23,  X = b005
15/10/2019/18:0:23,  Y = 30fd
15/10/2019/18:0:23,  Z = d0c5
15/11/2019/18:0:28,  X = 7006
15/10/2019/18:0:28,  Y = f0fb
15/10/2019/18:0:28,  Z = 40c4
15/11/2019/18:0:33,  X = 4004
15/10/2019/18:0:33,  Y = 20ff
15/10/2019/18:0:33,  Z = 20c4
15/11/2019/18:0:38,  X = 5006
15/10/2019/18:0:38,  Y = d0fb
15/10/2019/18:0:38,  Z = 80c4
15/11/2019/18:0:43,  X = 5006
15/10/2019/18:0:43,  Y = e0fb
15/10/2019/18:0:43,  Z = 40c4
15/11/2019/18:0:48,  X = 1005
15/10/2019/18:0:48,  Y = c0fd
15/10/2019/18:0:48,  Z = 70c4
15/11/2019/18:0:53,  X = 7005
15/10/2019/18:0:53,  Y = 90fc
15/10/2019/18:0:53,  Z = e0c3
15/11/2019/18:0:58,  X = e003
15/10/2019/18:0:58,  Y = b0ff
15/10/2019/18:0:58,  Z = 70c2
15/11/2019/18:1:3,  X = 1006
15/10/2019/18:1:3,  Y = f0fb
15/10/2019/18:1:3,  Z = 10c4
15/11/2019/18:1:8,  X = 5006
15/10/2019/18:1:8,  Y = f0fb
15/10/2019/18:1:8,  Z = 10c4
15/11/2019/18:1:13,  X = 5006
15/10/2019/18:1:13,  Y = d0fb
15/10/2019/18:1:13,  Z = a0c4
15/11/2019/18:1:18,  X = 4002
15/10/2019/18:1:18,  Y = a000
15/10/2019/18:1:18,  Z = 40c8
15/11/2019/18:1:23,  X = 7006
15/10/2019/18:1:23,  Y = e0fb
15/10/2019/18:1:23,  Z = 40c4
15/11/2019/18:1:28,  X = 5006
15/10/2019/18:1:28,  Y = c0fb
15/10/2019/18:1:28,  Z = 60c4
15/11/2019/18:1:33,  X = 4006
15/10/2019/18:1:33,  Y = a0fb
15/10/2019/18:1:33,  Z = b0c4
15/11/2019/18:1:38,  X = 5006
15/10/2019/18:1:38,  Y = 70fb
15/10/2019/18:1:38,  Z = 70c4
15/11/2019/18:1:43,  X = 5006
15/10/2019/18:1:43,  Y = c0fb
15/10/2019/18:1:43,  Z = d0c4
15/11/2019/18:1:48,  X = 6006
15/10/2019/18:1:48,  Y = a0fb
15/10/2019/18:1:48,  Z = b0c4
15/11/2019/18:1:53,  X = b006
15/10/2019/18:1:53,  Y = f0fb
15/10/2019/18:1:53,  Z = b0c4
15/11/2019/18:1:58,  X = 6006
15/10/2019/18:1:58,  Y = f0fb
15/10/2019/18:1:58,  Z = c0c4
15/11/2019/18:2:3,  X = 6006
15/10/2019/18:2:3,  Y = c0fb
